year,name,sex,count
1880,Sarah,F,1288
1880,Elsie,F,301
1880,Sara,F,165
1880,Lee,F,28
1880,Tina,F,17
1880,Thomas,F,8
1880,Thomas,M,2534
1880,Edward,M,2364
1880,Daniel,M,643
1880,Lee,M,361
1880,Ed,M,310
1880,Paul,M,301
1880,Alexander,M,211
1880,Alex,M,147
1880,Nicholas,M,73
1880,Christian,M,43
1880,Nick,M,40
1880,Spencer,M,35
1880,Orlando,M,16
1880,Tim,M,12
1880,Justin,M,8
1880,Elsie,M,6
1880,Gary,M,6
1881,Sarah,F,1226
1881,Elsie,F,344
1881,Sara,F,147
1881,Lee,F,39
1881,Tina,F,19
1881,Thomas,F,11
1881,Thomas,M,2282
1881,Edward,M,2177
1881,Daniel,M,527
1881,Lee,M,342
1881,Paul,M,291
1881,Ed,M,272
1881,Alexander,M,209
1881,Alex,M,114
1881,Nicholas,M,56
1881,Christian,M,53
1881,Nick,M,39
1881,Spencer,M,26
1881,Orlando,M,19
1881,Tim,M,12
1881,Justin,M,7
1881,Gary,M,6
1881,Nolan,M,5
1882,Sarah,F,1410
1882,Elsie,F,448
1882,Sara,F,180
1882,Lee,F,43
1882,Tina,F,28
1882,Thomas,F,12
1882,Edward,F,5
1882,Thomas,M,2610
1882,Edward,M,2477
1882,Daniel,M,594
1882,Lee,M,427
1882,Paul,M,397
1882,Ed,M,337
1882,Alexander,M,225
1882,Alex,M,172
1882,Nicholas,M,66
1882,Christian,M,49
1882,Nick,M,35
1882,Spencer,M,33
1882,Orlando,M,13
1882,Tim,M,11
1882,Gary,M,10
1882,Ethan,M,7
1882,Alan,M,6
1883,Sarah,F,1359
1883,Elsie,F,479
1883,Sara,F,183
1883,Lee,F,55
1883,Tina,F,21
1883,Edward,F,7
1883,Thomas,M,2316
1883,Edward,M,2250
1883,Daniel,M,615
1883,Lee,M,388
1883,Paul,M,358
1883,Ed,M,247
1883,Alexander,M,187
1883,Alex,M,120
1883,Nicholas,M,71
1883,Christian,M,50
1883,Nick,M,36
1883,Spencer,M,28
1883,Tim,M,16
1883,Orlando,M,11
1883,Sarah,M,7
1884,Sarah,F,1518
1884,Elsie,F,549
1884,Sara,F,197
1884,Lee,F,48
1884,Tina,F,24
1884,Thomas,F,10
1884,Edward,F,9
1884,Paul,F,5
1884,Thomas,M,2572
1884,Edward,M,2439
1884,Daniel,M,573
1884,Lee,M,435
